edge_axis-x,edge_axis-y,X1,Y1,X2,Y2,conner_axis-X,conner_axis-Y
147,15,15.0,163.0,15.0,131.0,190.0,46.0
147,82,126.0,33.0,144.0,33.0,14.0,148.0
147,177,83.0,169.0,83.0,150.0,218.0,68.0
148,15,177.0,142.0,177.0,161.0,14.0,159.0
148,82,70.0,50.0,84.0,43.0,25.0,97.0
148,177,176.0,41.0,186.0,45.0,61.0,55.0
149,15,159.0,36.0,161.0,36.0,190.0,46.0
149,82,24.0,100.0,28.0,94.0,14.0,148.0
149,177,29.0,91.0,39.0,78.0,218.0,68.0
150,15,205.0,57.0,215.0,67.0,14.0,159.0
150,83,85.0,140.0,174.0,140.0,25.0,97.0
150,177,57.0,60.0,66.0,52.0,61.0,55.0
151,15,190.0,46.0,203.0,57.0,190.0,46.0
151,83,211.0,62.0,225.0,76.0,14.0,148.0
151,177,202.0,55.0,207.0,60.0,218.0,68.0
152,15,17.0,124.0,17.0,122.0,14.0,159.0
